char,start,stop,audio
0,0.0,0.09288,data/korean-single-speaker/kss/1/1_0004.wav
ᄀ,0.09288,0.14314,data/korean-single-speaker/kss/1/1_0004.wav
ᅳ,0.14314,0.24152,data/korean-single-speaker/kss/1/1_0004.wav
애,0.24152,0.33572,data/korean-single-speaker/kss/1/1_0004.wav
0,0.33572,0.35846,data/korean-single-speaker/kss/1/1_0004.wav
ᄌ,0.35846,0.41761,data/korean-single-speaker/kss/1/1_0004.wav
ᅥ,0.41761,0.51689,data/korean-single-speaker/kss/1/1_0004.wav
ᆫ,0.51689,0.56929,data/korean-single-speaker/kss/1/1_0004.wav
~ᆫ화,0.56929,0.67854,data/korean-single-speaker/kss/1/1_0004.wav
ᄇ,0.67854,0.71058,data/korean-single-speaker/kss/1/1_0004.wav
ᅥ,0.71058,0.8003,data/korean-single-speaker/kss/1/1_0004.wav
ᆫ,0.8003,0.84911,data/korean-single-speaker/kss/1/1_0004.wav
~ᆫ호,0.84911,0.89335,data/korean-single-speaker/kss/1/1_0004.wav
아,0.89335,1.00634,data/korean-single-speaker/kss/1/1_0004.wav
ᆯ,1.00634,1.07737,data/korean-single-speaker/kss/1/1_0004.wav
아?,1.07737,1.27282,data/korean-single-speaker/kss/1/1_0004.wav
0,1.27282,1.332,data/korean-single-speaker/kss/1/1_0004.wav
