chunk_file,is_valid,main_phon,pre_phon, post_phon,src_file,src_char
data/korean-single-speaker/kss_chunks/audio/1_0000_000.wav,1.0,그는,,,data/korean-single-speaker/kss/1/1_0000.wav,그는 괜찮은 척하려고 애쓰는 것 같았다.
data/korean-single-speaker/kss_chunks/audio/1_0000_001.wav,1.0,괜,,,data/korean-single-speaker/kss/1/1_0000.wav,그는 괜찮은 척하려고 애쓰는 것 같았다.
data/korean-single-speaker/kss_chunks/audio/1_0000_002.wav,1.0,찮은,,,data/korean-single-speaker/kss/1/1_0000.wav,그는 괜찮은 척하려고 애쓰는 것 같았다.
data/korean-single-speaker/kss_chunks/audio/1_0000_003.wav,1.0,척,,ᄒ,data/korean-single-speaker/kss/1/1_0000.wav,그는 괜찮은 척하려고 애쓰는 것 같았다.
data/korean-single-speaker/kss_chunks/audio/1_0000_004.wav,1.0,혀,ᆨ,려,data/korean-single-speaker/kss/1/1_0000.wav,그는 괜찮은 척하려고 애쓰는 것 같았다.
data/korean-single-speaker/kss_chunks/audio/1_0000_005.wav,1.0,려,,ᄀ,data/korean-single-speaker/kss/1/1_0000.wav,그는 괜찮은 척하려고 애쓰는 것 같았다.
data/korean-single-speaker/kss_chunks/audio/1_0000_006.wav,0.0,,,,data/korean-single-speaker/kss/1/1_0000.wav,그는 괜찮은 척하려고 애쓰는 것 같았다.
data/korean-single-speaker/kss_chunks/audio/1_0000_007.wav,1.0,고,ᄅ,,data/korean-single-speaker/kss/1/1_0000.wav,그는 괜찮은 척하려고 애쓰는 것 같았다.
data/korean-single-speaker/kss_chunks/audio/1_0000_008.wav,1.0,애쓰는 것,,,data/korean-single-speaker/kss/1/1_0000.wav,그는 괜찮은 척하려고 애쓰는 것 같았다.
data/korean-single-speaker/kss_chunks/audio/1_0000_009.wav,1.0,같,,,data/korean-single-speaker/kss/1/1_0000.wav,그는 괜찮은 척하려고 애쓰는 것 같았다.
data/korean-single-speaker/kss_chunks/audio/1_0000_010.wav,1.0,았,ᄀ,,data/korean-single-speaker/kss/1/1_0000.wav,그는 괜찮은 척하려고 애쓰는 것 같았다.
data/korean-single-speaker/kss_chunks/audio/1_0000_011.wav,1.0,다,,,data/korean-single-speaker/kss/1/1_0000.wav,그는 괜찮은 척하려고 애쓰는 것 같았다.
data/korean-single-speaker/kss_chunks/audio/1_0001_000.wav,1.0,그녀의 사랑을 얻,,ᄀ,data/korean-single-speaker/kss/1/1_0001.wav,그녀의 사랑을 얻기 위해 애썼지만 헛수고였다.
data/korean-single-speaker/kss_chunks/audio/1_0001_001.wav,1.0,기 위해,,,data/korean-single-speaker/kss/1/1_0001.wav,그녀의 사랑을 얻기 위해 애썼지만 헛수고였다.
data/korean-single-speaker/kss_chunks/audio/1_0001_002.wav,1.0,애썼,,ᄌ,data/korean-single-speaker/kss/1/1_0001.wav,그녀의 사랑을 얻기 위해 애썼지만 헛수고였다.
data/korean-single-speaker/kss_chunks/audio/1_0001_003.wav,1.0,지만,,,data/korean-single-speaker/kss/1/1_0001.wav,그녀의 사랑을 얻기 위해 애썼지만 헛수고였다.
data/korean-single-speaker/kss_chunks/audio/1_0001_004.wav,1.0,헛수,,ᄀ,data/korean-single-speaker/kss/1/1_0001.wav,그녀의 사랑을 얻기 위해 애썼지만 헛수고였다.
data/korean-single-speaker/kss_chunks/audio/1_0001_005.wav,1.0,고였,,ᄃ,data/korean-single-speaker/kss/1/1_0001.wav,그녀의 사랑을 얻기 위해 애썼지만 헛수고였다.
data/korean-single-speaker/kss_chunks/audio/1_0001_006.wav,1.0,다,,,data/korean-single-speaker/kss/1/1_0001.wav,그녀의 사랑을 얻기 위해 애썼지만 헛수고였다.
data/korean-single-speaker/kss_chunks/audio/1_0002_000.wav,1.0,용,,,data/korean-single-speaker/kss/1/1_0002.wav,용돈을 아껴 써라.
data/korean-single-speaker/kss_chunks/audio/1_0002_001.wav,1.0,돈을,,,data/korean-single-speaker/kss/1/1_0002.wav,용돈을 아껴 써라.
data/korean-single-speaker/kss_chunks/audio/1_0002_002.wav,1.0,아,,ᄁ,data/korean-single-speaker/kss/1/1_0002.wav,용돈을 아껴 써라.
data/korean-single-speaker/kss_chunks/audio/1_0002_003.wav,1.0,껴,,ᄊ,data/korean-single-speaker/kss/1/1_0002.wav,용돈을 아껴 써라.
data/korean-single-speaker/kss_chunks/audio/1_0002_004.wav,0.0,,,,data/korean-single-speaker/kss/1/1_0002.wav,용돈을 아껴 써라.
data/korean-single-speaker/kss_chunks/audio/1_0002_005.wav,1.0,라,써,,data/korean-single-speaker/kss/1/1_0002.wav,용돈을 아껴 써라.
data/korean-single-speaker/kss_chunks/audio/1_0003_000.wav,1.0,그는,,,data/korean-single-speaker/kss/1/1_0003.wav,그는 아내를 많이 아낀다.
data/korean-single-speaker/kss_chunks/audio/1_0003_001.wav,1.0,아내를 많이 아,,ᄁ,data/korean-single-speaker/kss/1/1_0003.wav,그는 아내를 많이 아낀다.
data/korean-single-speaker/kss_chunks/audio/1_0003_002.wav,1.0,낀,아,,data/korean-single-speaker/kss/1/1_0003.wav,그는 아내를 많이 아낀다.
data/korean-single-speaker/kss_chunks/audio/1_0003_003.wav,1.0,다,,,data/korean-single-speaker/kss/1/1_0003.wav,그는 아내를 많이 아낀다.
data/korean-single-speaker/kss_chunks/audio/1_0004_000.wav,0.0,,,,data/korean-single-speaker/kss/1/1_0004.wav,그 애 전화번호 알아?
data/korean-single-speaker/kss_chunks/audio/1_0004_001.wav,1.0,그 애,,,data/korean-single-speaker/kss/1/1_0004.wav,그 애 전화번호 알아?
data/korean-single-speaker/kss_chunks/audio/1_0004_002.wav,1.0,전화,,ᄇ,data/korean-single-speaker/kss/1/1_0004.wav,그 애 전화번호 알아?
data/korean-single-speaker/kss_chunks/audio/1_0004_003.wav,1.0,번호,,아,data/korean-single-speaker/kss/1/1_0004.wav,그 애 전화번호 알아?
data/korean-single-speaker/kss_chunks/audio/1_0004_004.wav,1.0,아,ᆯ,,data/korean-single-speaker/kss/1/1_0004.wav,그 애 전화번호 알아?
data/korean-single-speaker/kss_chunks/audio/1_0005_000.wav,1.0,차에,,ᄃ,data/korean-single-speaker/kss/1/1_0005.wav,차에 대해 잘 아세요?
data/korean-single-speaker/kss_chunks/audio/1_0005_001.wav,1.0,대해,,,data/korean-single-speaker/kss/1/1_0005.wav,차에 대해 잘 아세요?
data/korean-single-speaker/kss_chunks/audio/1_0005_002.wav,1.0,잘 아세요,,,data/korean-single-speaker/kss/1/1_0005.wav,차에 대해 잘 아세요?
data/korean-single-speaker/kss_chunks/audio/1_0006_000.wav,1.0,거,,ᄀ,data/korean-single-speaker/kss/1/1_0006.wav,거기 도착하면 나한테 알려 줘.
data/korean-single-speaker/kss_chunks/audio/1_0006_001.wav,1.0,기,ᄀ,,data/korean-single-speaker/kss/1/1_0006.wav,거기 도착하면 나한테 알려 줘.
data/korean-single-speaker/kss_chunks/audio/1_0006_002.wav,1.0,도,,ᄎ,data/korean-single-speaker/kss/1/1_0006.wav,거기 도착하면 나한테 알려 줘.
data/korean-single-speaker/kss_chunks/audio/1_0006_003.wav,1.0,착,,,data/korean-single-speaker/kss/1/1_0006.wav,거기 도착하면 나한테 알려 줘.
data/korean-single-speaker/kss_chunks/audio/1_0006_004.wav,1.0,하면,ᆨ,,data/korean-single-speaker/kss/1/1_0006.wav,거기 도착하면 나한테 알려 줘.
data/korean-single-speaker/kss_chunks/audio/1_0006_005.wav,1.0,나한,,,data/korean-single-speaker/kss/1/1_0006.wav,거기 도착하면 나한테 알려 줘.
data/korean-single-speaker/kss_chunks/audio/1_0006_006.wav,1.0,테 알려,,ᄌ,data/korean-single-speaker/kss/1/1_0006.wav,거기 도착하면 나한테 알려 줘.
data/korean-single-speaker/kss_chunks/audio/1_0006_007.wav,1.0,줘,,,data/korean-single-speaker/kss/1/1_0006.wav,거기 도착하면 나한테 알려 줘.
